disorder,module,informant,status,ksads1_var,ksads2_var,merged_var,proposed_case_definition,confidence,confirmed_use,notes
"Other specified anxiety disorder, generalized anxiety disorder",gad,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__gad__oth__mindur__pres_dx,mh_p_ksads__gad__oth__mindur__pres_dx == 1,low,,
"Other specified anxiety disorder, generalized anxiety disorder",gad,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__gad__oth__mindur__past_dx | mh_p_ksads__gad__oth__mindur__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
Generalized anxiety disorder,gad,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__gad__past_dx,mh_p_ksads__gad__past_dx == 1,high,,
Generalized anxiety disorder,gad,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__gad__pres_dx,mh_p_ksads__gad__pres_dx == 1,high,,
Generalized anxiety disorder,gad,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__gad__past_dx | mh_p_ksads__gad__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
Homicidal ideation and behavior,hom,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__hom__past_dx,mh_p_ksads__hom__past_dx == 1,high,,
Homicidal ideation and behavior,hom,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__hom__pres_dx,mh_p_ksads__hom__pres_dx == 1,high,,
Homicidal ideation and behavior,hom,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__hom__past_dx | mh_p_ksads__hom__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
Other specified obessive-compulsive and related disorder,ocd,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ocd__oth__past_dx,mh_p_ksads__ocd__oth__past_dx == 1,low,,
Other specified obessive-compulsive and related disorder,ocd,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ocd__oth__pres_dx,mh_p_ksads__ocd__oth__pres_dx == 1,low,,
Other specified obessive-compulsive and related disorder,ocd,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ocd__oth__past_dx | mh_p_ksads__ocd__oth__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
