table,module,informant,disorder,status,variable,session_id,ksads_version,n_present,n_absent,n_branchskip_888,n_notadmin_555,n_nan,n_total,pct_administered
mh_y_ksads__ed,ed,youth,binge,present,mh_y_ksads__ed__binge__pres_dx,ses-01A,1.0,0,0,0,11097,0,11097,0.0
mh_y_ksads__ed,ed,youth,binge,present,mh_y_ksads__ed__binge__pres_dx,ses-02A,1.0,23,10831,0,0,1,10855,100.0
mh_y_ksads__ed,ed,youth,binge,present,mh_y_ksads__ed__binge__pres_dx,ses-03A,2.0,0,0,0,10301,0,10301,0.0
mh_y_ksads__ed,ed,youth,binge,present,mh_y_ksads__ed__binge__pres_dx,ses-04A,2.0,58,8975,0,0,7,9040,99.9
mh_y_ksads__ed,ed,youth,binge,present,mh_y_ksads__ed__binge__pres_dx,ses-05A,2.0,0,0,0,8535,0,8535,0.0
mh_y_ksads__ed,ed,youth,binge,present,mh_y_ksads__ed__binge__pres_dx,ses-06A,2.0,102,9192,0,0,5,9299,99.9
mh_y_ksads__ed,ed,youth,binge,present,mh_y_ksads__ed__binge__pres_dx,ses-07A,2.0,0,0,0,8344,13,8357,0.0
mh_y_ksads__ed,ed,youth,bulim__oth__mindur,past,mh_y_ksads__ed__bulim__oth__mindur__past_dx,ses-00A,1.0,0,0,0,11775,1,11776,0.0
mh_y_ksads__ed,ed,youth,bulim__oth__mindur,past,mh_y_ksads__ed__bulim__oth__mindur__past_dx,ses-01A,1.0,0,0,0,11097,0,11097,0.0
mh_y_ksads__ed,ed,youth,bulim__oth__mindur,past,mh_y_ksads__ed__bulim__oth__mindur__past_dx,ses-02A,1.0,4,10850,0,0,1,10855,100.0
mh_y_ksads__ed,ed,youth,bulim__oth__mindur,past,mh_y_ksads__ed__bulim__oth__mindur__past_dx,ses-03A,2.0,0,0,0,10301,0,10301,0.0
mh_y_ksads__ed,ed,youth,bulim__oth__mindur,past,mh_y_ksads__ed__bulim__oth__mindur__past_dx,ses-04A,2.0,9,9024,0,0,7,9040,99.9
mh_y_ksads__ed,ed,youth,bulim__oth__mindur,past,mh_y_ksads__ed__bulim__oth__mindur__past_dx,ses-05A,2.0,0,0,0,8535,0,8535,0.0
