disorder,module,informant,status,merged_var,proposed_case_definition
Disruptive mood dysregulation disorder,dmdd,youth,present,mh_y_ksads__dmdd__dmdd__pres_dx,mh_y_ksads__dmdd__dmdd__pres_dx == 1
"Anorexia nervosa, binge eating/purging subtype",ed,youth,partial_remission,mh_y_ksads__ed__an__bingeprg__partrem_dx,mh_y_ksads__ed__an__bingeprg__partrem_dx == 1
"Anorexia nervosa, binge eating/purging subtype",ed,youth,past,mh_y_ksads__ed__an__bingeprg__past_dx,mh_y_ksads__ed__an__bingeprg__past_dx == 1
"Anorexia nervosa, binge eating/purging subtype",ed,youth,present,mh_y_ksads__ed__an__bingeprg__pres_dx,mh_y_ksads__ed__an__bingeprg__pres_dx == 1
"Anorexia nervosa, binge eating/purging subtype",ed,youth,lifetime_union,mh_y_ksads__ed__an__bingeprg__partrem_dx | mh_y_ksads__ed__an__bingeprg__past_dx | mh_y_ksads__ed__an__bingeprg__pres_dx,any(present/past/partial_remission _dx == 1)
"Other specified feeding or eating disorder, atypical anorexia nervosa",ed,youth,past,mh_y_ksads__ed__an__oth__past_dx,mh_y_ksads__ed__an__oth__past_dx == 1
"Other specified feeding or eating disorder, atypical anorexia nervosa",ed,youth,present,mh_y_ksads__ed__an__oth__pres_dx,mh_y_ksads__ed__an__oth__pres_dx == 1
"Other specified feeding or eating disorder, atypical anorexia nervosa",ed,youth,lifetime_union,mh_y_ksads__ed__an__oth__past_dx | mh_y_ksads__ed__an__oth__pres_dx,any(present/past/partial_remission _dx == 1)
"Anorexia nervosa, restricting subtype",ed,youth,partial_remission,mh_y_ksads__ed__an__restrict__partrem_dx,mh_y_ksads__ed__an__restrict__partrem_dx == 1
"Anorexia nervosa, restricting subtype",ed,youth,past,mh_y_ksads__ed__an__restrict__past_dx,mh_y_ksads__ed__an__restrict__past_dx == 1
"Anorexia nervosa, restricting subtype",ed,youth,present,mh_y_ksads__ed__an__restrict__pres_dx,mh_y_ksads__ed__an__restrict__pres_dx == 1
"Anorexia nervosa, restricting subtype",ed,youth,lifetime_union,mh_y_ksads__ed__an__restrict__partrem_dx | mh_y_ksads__ed__an__restrict__past_dx | mh_y_ksads__ed__an__restrict__pres_dx,any(present/past/partial_remission _dx == 1)
"Other specified feeding or eating disorder, binge eating disorder",ed,youth,past,mh_y_ksads__ed__binge__oth__mindur__past_dx,mh_y_ksads__ed__binge__oth__mindur__past_dx == 1
"Other specified feeding or eating disorder, binge eating disorder",ed,youth,present,mh_y_ksads__ed__binge__oth__mindur__pres_dx,mh_y_ksads__ed__binge__oth__mindur__pres_dx == 1
"Other specified feeding or eating disorder, binge eating disorder",ed,youth,lifetime_union,mh_y_ksads__ed__binge__oth__mindur__past_dx | mh_y_ksads__ed__binge__oth__mindur__pres_dx,any(present/past/partial_remission _dx == 1)
Binge eating disorder,ed,youth,partial_remission,mh_y_ksads__ed__binge__partrem_dx,mh_y_ksads__ed__binge__partrem_dx == 1
Binge eating disorder,ed,youth,past,mh_y_ksads__ed__binge__past_dx,mh_y_ksads__ed__binge__past_dx == 1
Binge eating disorder,ed,youth,present,mh_y_ksads__ed__binge__pres_dx,mh_y_ksads__ed__binge__pres_dx == 1
Binge eating disorder,ed,youth,lifetime_union,mh_y_ksads__ed__binge__partrem_dx | mh_y_ksads__ed__binge__past_dx | mh_y_ksads__ed__binge__pres_dx,any(present/past/partial_remission _dx == 1)
"Other specified feeding or eating disorder, bulimia nervosa",ed,youth,past,mh_y_ksads__ed__bulim__oth__mindur__past_dx,mh_y_ksads__ed__bulim__oth__mindur__past_dx == 1
"Other specified feeding or eating disorder, bulimia nervosa",ed,youth,present,mh_y_ksads__ed__bulim__oth__mindur__pres_dx,mh_y_ksads__ed__bulim__oth__mindur__pres_dx == 1
"Other specified feeding or eating disorder, bulimia nervosa",ed,youth,lifetime_union,mh_y_ksads__ed__bulim__oth__mindur__past_dx | mh_y_ksads__ed__bulim__oth__mindur__pres_dx,any(present/past/partial_remission _dx == 1)
